// Dump around 0x14aa42318 (target ServerAcknowledgePossession entry)
// Each line = qword + resolved name + (string content if applicable)

     0x14aa42078  qword=0x14a612620  aFov  "FOV"
     0x14aa42080  qword=0x1443f7d90  sub_1443F7D90  "H"
     0x14aa42088  qword=0x14aa45548  aGetdeprecatedi  "GetDeprecatedInputPitchScale"
     0x14aa42090  qword=0x1443f7dc0  sub_1443F7DC0  "H"
     0x14aa42098  qword=0x14aa456b0  aGetdeprecatedi_0  "GetDeprecatedInputRollScale"
     0x14aa420a0  qword=0x1443f7df0  sub_1443F7DF0  "H"
     0x14aa420a8  qword=0x14aa45710  aGetdeprecatedi_1  "GetDeprecatedInputYawScale"
     0x14aa420b0  qword=0x1443f7e50  sub_1443F7E50  "H"
     0x14aa420b8  qword=0x14aa45918  aGetfocallocati  "GetFocalLocation"
     0x14aa420c0  qword=0x1443f7ec0  sub_1443F7EC0  "H"
     0x14aa420c8  qword=0x14aa45c68  aGethitresultun  "GetHitResultUnderCursor"
     0x14aa420d0  qword=0x1443f8020  sub_1443F8020  "H"
     0x14aa420d8  qword=0x14aa45f40  aGethitresultun_0  "GetHitResultUnderCursorByChannel"
     0x14aa420e0  qword=0x1443f80f0  sub_1443F80F0  "H"
     0x14aa420e8  qword=0x14aa467f8  aGethitresultun_1  "GetHitResultUnderCursorForObjects"
     0x14aa420f0  qword=0x1443f8250  sub_1443F8250  "H"
     0x14aa420f8  qword=0x14aa46ef8  aGethitresultun_2  "GetHitResultUnderFinger"
     0x14aa42100  qword=0x1443f8280  sub_1443F8280  "H"
     0x14aa42108  qword=0x14aa473d0  aGethitresultun_3  "GetHitResultUnderFingerByChannel"
     0x14aa42110  qword=0x1443f8310  sub_1443F8310  "H"
     0x14aa42118  qword=0x14aa476a0  aGethitresultun_4  "GetHitResultUnderFingerForObjects"
     0x14aa42120  qword=0x1443f8370  sub_1443F8370  "H"
     0x14aa42128  qword=0x14aa47868  aGethud  "GetHUD"
     0x14aa42130  qword=0x1443f8480  sub_1443F8480  "H"
     0x14aa42138  qword=0x14aa47968  aGetinputanalog  "GetInputAnalogKeyState"
     0x14aa42140  qword=0x1443f8510  sub_1443F8510  "H"
     0x14aa42148  qword=0x14aa47ad8  aGetinputanalog_0  "GetInputAnalogStickState"
     0x14aa42150  qword=0x1443f85d0  sub_1443F85D0  "H"
     0x14aa42158  qword=0x14aa47c68  aGetinputkeytim  "GetInputKeyTimeDown"
     0x14aa42160  qword=0x1443f8660  sub_1443F8660  "H"
     0x14aa42168  qword=0x14aa47e48  aGetinputmotion  "GetInputMotionState"
     0x14aa42170  qword=0x1443f86f0  sub_1443F86F0  "H"
     0x14aa42178  qword=0x14aa47fd0  aGetinputmoused  "GetInputMouseDelta"
     0x14aa42180  qword=0x1443f8860  sub_1443F8860  "H"
     0x14aa42188  qword=0x14aa48218  aGetinputtouchs  "GetInputTouchState"
     0x14aa42190  qword=0x1443f8920  sub_1443F8920  "H"
     0x14aa42198  qword=0x14aa483f0  aGetinputvector_0  "GetInputVectorKeyState"
     0x14aa421a0  qword=0x1443f8ac0  sub_1443F8AC0  "H"
     0x14aa421a8  qword=0x14aa485d8  aGetmousepositi_2  "GetMousePosition"
     0x14aa421b0  qword=0x1443f8b80  sub_1443F8B80  "H"
     0x14aa421b8  qword=0x14aa487b8  aGetoverridepla  "GetOverridePlayerInputClass"
     0x14aa421c0  qword=0x1443f8c90  sub_1443F8C90  "H"
     0x14aa421c8  qword=0x14a8d48d0  aGetplatformuse  "GetPlatformUserId"
     0x14aa421d0  qword=0x1443f8d80  sub_1443F8D80  "H"
     0x14aa421d8  qword=0x14aa48e30  aGetspectatorpa  "GetSpectatorPawn"
     0x14aa421e0  qword=0x1443f8df0  sub_1443F8DF0  "H"
     0x14aa421e8  qword=0x14aa49350  aGetstreamingso  "GetStreamingSourceLocationAndRotation"
     0x14aa421f0  qword=0x1443f8f10  sub_1443F8F10  "H"
     0x14aa421f8  qword=0x14aa494d0  aGetstreamingso_0  "GetStreamingSourcePriority"
     0x14aa42200  qword=0x1443f9060  sub_1443F9060  "H"
     0x14aa42208  qword=0x14aa49730  aGetstreamingso_1  "GetStreamingSourceShapes"
     0x14aa42210  qword=0x1443f9110  sub_1443F9110  "H"
     0x14aa42218  qword=0x14a5a6960  aGetviewportsiz  "GetViewportSize"
     0x14aa42220  qword=0x1443f9170  sub_1443F9170  "H"
     0x14aa42228  qword=0x14aa49d48  aIsinputkeydown  "IsInputKeyDown"
     0x14aa42230  qword=0x1443f91d0  sub_1443F91D0  "H"
     0x14aa42238  qword=0x14aa49e48  aIsprimaryplaye  "IsPrimaryPlayer"
     0x14aa42240  qword=0x1443f9230  sub_1443F9230  "H"
     0x14aa42248  qword=0x14a881b50  aIsstreamingsou  "IsStreamingSourceEnabled"
     0x14aa42250  qword=0x1443f92c0  sub_1443F92C0  "H"
     0x14aa42258  qword=0x14aa4a140  aK2Clientplayfo  "K2_ClientPlayForceFeedback"
     0x14aa42260  qword=0x1443f9320  sub_1443F9320  "H"
     0x14aa42268  qword=0x14aa4a248  aLocaltravel  "LocalTravel"
     0x14aa42270  qword=0x1443f9380  sub_1443F9380  "H"
     0x14aa42278  qword=0x14aa4a330  aOnserverstarte_0  "OnServerStartedVisualLogger"
     0x14aa42280  qword=0x1443f93e0  sub_1443F93E0  "H"
     0x14aa42288  qword=0x149ebdba0  aPause  "Pause"
     0x14aa42290  qword=0x1443f98a0  sub_1443F98A0  "H"
     0x14aa42298  qword=0x14aa4a7b0  aPlaydynamicfor  "PlayDynamicForceFeedback"
     0x14aa422a0  qword=0x1443f9900  sub_1443F9900  "H"
     0x14aa422a8  qword=0x14aa4ab98  aPlayhapticeffe  "PlayHapticEffect"
     0x14aa422b0  qword=0x1443f9990  sub_1443F9990  "H"
     0x14aa422b8  qword=0x14aa4ad90  aProjectworldlo_0  "ProjectWorldLocationToScreen"
     0x14aa422c0  qword=0x1443f99c0  sub_1443F99C0  "H"
     0x14aa422c8  qword=0x14aa4ae70  aResetcontrolle  "ResetControllerDeadZones"
     0x14aa422d0  qword=0x1443f99f0  sub_1443F99F0  "H"
     0x14aa422d8  qword=0x14aa4af60  aResetcontrolle_0  "ResetControllerLightColor"
     0x14aa422e0  qword=0x1443f9a50  sub_1443F9A50  "H"
     0x14aa422e8  qword=0x14aa4af90  aResetcontrolle_1  "ResetControllerTriggerReleaseThresholds"
     0x14aa422f0  qword=0x1443f9a80  sub_1443F9A80  "H"
     0x14aa422f8  qword=0x14aa4afe0  aRestartlevel  "RestartLevel"
     0x14aa42300  qword=0x1443f9ae0  sub_1443F9AE0  "H"
     0x14aa42308  qword=0x14aa4b090  aSendtoconsole  "SendToConsole"
     0x14aa42310  qword=0x1443f9b10  sub_1443F9B10  "H"
 >>> 0x14aa42318  qword=0x14aa4b178  aServeracknowle_2  "ServerAcknowledgePossession"
     0x14aa42320  qword=0x1443f9b70  sub_1443F9B70  "H"
     0x14aa42328  qword=0x14aa4b2c8  aServerblockpla_1  "ServerBlockPlayer"
     0x14aa42330  qword=0x1443f9bd0  sub_1443F9BD0  "H"
     0x14aa42338  qword=0x14aa4b438  aServercamera_0  "ServerCamera"
     0x14aa42340  qword=0x1443f9c30  sub_1443F9C30  "H"
     0x14aa42348  qword=0x14aa4b618  aServerchangena_1  "ServerChangeName"
     0x14aa42350  qword=0x1443f9c60  sub_1443F9C60  "H"
     0x14aa42358  qword=0x14aa4b780  aServercheckcli_3  "ServerCheckClientPossession"
     0x14aa42360  qword=0x1443f9cc0  sub_1443F9CC0  "H"
     0x14aa42368  qword=0x14aa4b830  aServercheckcli_4  "ServerCheckClientPossessionReliable"
     0x14aa42370  qword=0x1443f9cf0  sub_1443F9CF0  "H"
     0x14aa42378  qword=0x14aa4b948  aServerexec_0  "ServerExec"
     0x14aa42380  qword=0x1443f9d50  sub_1443F9D50  "H"
     0x14aa42388  qword=0x14aa4ba80  aServerexecrpc_0  "ServerExecRPC"
     0x14aa42390  qword=0x1443f9e30  sub_1443F9E30  "H"
     0x14aa42398  qword=0x14aa4bc10  aServermuteplay_1  "ServerMutePlayer"
     0x14aa423a0  qword=0x1443f9e90  sub_1443F9E90  "H"
     0x14aa423a8  qword=0x14aa4bd88  aServernotifylo_3  "ServerNotifyLoadedWorld"
     0x14aa423b0  qword=0x1443f9ec0  sub_1443F9EC0  "H"
     0x14aa423b8  qword=0x14aa4be28  aServerpause_0  "ServerPause"
     0x14aa423c0  qword=0x1443f9f20  sub_1443F9F20  "H"
     0x14aa423c8  qword=0x14aa4be88  aServerrestartp_1  "ServerRestartPlayer"
     0x14aa423d0  qword=0x1443f9fb0  sub_1443F9FB0  "H"
     0x14aa423d8  qword=0x14aa4bfc8  aServersendlate_0  "ServerSendLatestAsyncPhysicsTimestamp"
     0x14aa423e0  qword=0x1443fa010  sub_1443FA010  "H"
     0x14aa423e8  qword=0x14aa4c1c0  aServersetspect_6  "ServerSetSpectatorLocation"
     0x14aa423f0  qword=0x1443fa070  sub_1443FA070  "H"
     0x14aa423f8  qword=0x14aa4c318  aServersetspect_7  "ServerSetSpectatorWaiting"
     0x14aa42400  qword=0x1443fa180  sub_1443FA180  "H"
     0x14aa42408  qword=0x14aa4c3a8  aServershorttim_1  "ServerShortTimeout"
     0x14aa42410  qword=0x1443fa1b0  sub_1443FA1B0  "H"
     0x14aa42418  qword=0x14a7fc018  aServertoggleai_1  "ServerToggleAILogging"
     0x14aa42420  qword=0x1443fa210  sub_1443FA210  "H"
