Address	Function	Instruction
.text:00000001411372F6	sub_1411372D0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141139016	sub_141138FF0	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141139436	sub_141139410	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:000000014113B9B6	sub_14113B990	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:000000014113BDD6	sub_14113BDB0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:000000014113E436	sub_14113E410	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:000000014113E856	sub_14113E830	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141140566	sub_141140540	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141140986	sub_141140960	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141142866	sub_141142840	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141142C86	sub_141142C60	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141144B96	sub_141144B70	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141144FB6	sub_141144F90	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141146426	sub_141146400	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141146846	sub_141146820	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001411479A6	sub_141147980	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141147DC6	sub_141147DA0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141149756	sub_141149730	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141149B76	sub_141149B50	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:000000014114BBB6	sub_14114BB90	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:000000014114BFD6	sub_14114BFB0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:000000014114DC06	sub_14114DBE0	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:000000014114E026	sub_14114E000	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:000000014114FEF6	sub_14114FED0	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141150316	sub_1411502F0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141152806	sub_1411527E0	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141152C26	sub_141152C00	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141155186	sub_141155160	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001411555A6	sub_141155580	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141156A06	sub_1411569E0	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141156E26	sub_141156E00	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001411581A6	sub_141158180	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001411585C6	sub_1411585A0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:000000014115A336	sub_14115A310	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:000000014115A756	sub_14115A730	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:000000014115C856	sub_14115C830	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:000000014115CC76	sub_14115CC50	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:000000014115D246	sub_14115D240	                lea     rdx, aCharacter_0 ; "Character"
.text:000000014115F786	sub_14115F760	                lea     r9, aSayOutOfCharac ; "say (out of character)"
