Address	Function	Instruction
.rdata:0000000149F60020		                text "UTF-16LE", 'ENetCloseResult::ReceivedNetGUIDBunchFail',0
.rdata:0000000149F614A0		                text "UTF-16LE", 'ENetCloseResult::BeaconSpawnNetGUIDAckNoActor',0
.rdata:0000000149F61500		                text "UTF-16LE", 'ENetCloseResult::BeaconSpawnNetGUIDAckNoHost',0
.rdata:0000000149F62470		                text "UTF-16LE", 'NetGuid: %s',0
.rdata:000000014A4246A0		                text "UTF-16LE", 'uid: %s AuthorityNetGuid: %s',0
.rdata:000000014A424A70		                text "UTF-16LE", 'ity: MappedNetGuid: %s AuthorityNetGuid: %s',0
.rdata:000000014A899BC8		aListsNetguidsF:                        ; DATA XREF: sub_140F6D0E0+9F↑o
.rdata:000000014A899C00		aNetListnetguid:                        ; DATA XREF: sub_140F6D0E0+A6↑o
.rdata:000000014A89B9C0		aNetguidassign:                         ; DATA XREF: sub_140F6D9F0:loc_140F6DA40↑o
.rdata:000000014A89BB90		aBeaconnetguida:                        ; DATA XREF: sub_140F6D3F0:loc_140F6D440↑o
.rdata:000000014A8A21E0		                text "UTF-16LE", 'eceiveNetGUIDBunch. ChIndex: %i',0
.rdata:000000014A8A3D30		                text "UTF-16LE", 'NetGUIDs: %d CustomExports: %d 0x%X',0
.rdata:000000014A8A4B80		                                        ; "SendDestructionInfo: NetGUID <%s> Path:"...
.rdata:000000014A8A4BA0		                text "UTF-16LE", 'SendDestructionInfo: NetGUID <%s> Path: %s. Bits: %'
.rdata:000000014A8A4C10		                                        ; "SendDestructionInfo: NetGUID <%s> Path:"...
.rdata:000000014A8A4C70		                                        ; "SendBatchedDestructionInfo: NetGUID Cou"...
.rdata:000000014A8A4C90		                text "UTF-16LE", 'SendBatchedDestructionInfo: NetGUID Count: %d Bits:'
.rdata:000000014A8A4D08		                                        ; "SendBatchedDestructionInfo: NetGUID Cou"...
.rdata:000000014A8A4D50		                text "UTF-16LE", 'rror parsing NetGUIDs.',0
.rdata:000000014A8A5110		                text "UTF-16LE", 'UActorChannel::CleanUp (ChIndex: %i): %s | NetGuid:'
.rdata:000000014A8A52A0		                text "UTF-16LE", ' Relevancy. %s - [%s] FullNetGUIDPath: %s',0
.rdata:000000014A8A57D0		                text "UTF-16LE", 'SetChannelActor (ChIndex: %i): Actor: %s | NetGUID:'
.rdata:000000014A8A5A50		                text "UTF-16LE", '. NetGUID: %s, ChIndex: %i, Actor: %s',0
.rdata:000000014A8A5EC0		                text "UTF-16LE", 'edGUID that is not registered. ChIndex: %i NetGUID:'
.rdata:000000014A8A5FE0		                text "UTF-16LE", 's for this guid still. ActorNetGUID: %s',0
.rdata:000000014A8A6120		                text "UTF-16LE", 'penedLocally: %i, OpenAcked: %i, NetGUID: %s',0
.rdata:000000014A8A6440		                text "UTF-16LE", 'lNetGUIDPath: %s',0
.rdata:000000014A8A74D0		                text "UTF-16LE", ' object replicator has invalid NetGUID',0
.rdata:000000014A8A7F70		                text "UTF-16LE", '(0x%p) NetGuid %s',0
.rdata:000000014A8A80F0		                text "UTF-16LE", 'lass: %s, ClassNetGuid: %s, NetGuid: %s, SubObj: %s'
.rdata:000000014A8BCE30		                text "UTF-16LE", 'TickDemoRecord creating destroy channel for NetGUID'
.rdata:000000014A8DAF50		off_14A8DAF50   dq offset aNumnetguidsack_0 ; DATA XREF: .rdata:000000014A8DB280↓o
.rdata:000000014A8DAF98		off_14A8DAF98   dq offset aNumnetguidspen_0 ; DATA XREF: .rdata:000000014A8DB288↓o
.rdata:000000014A8DAFD0		off_14A8DAFD0   dq offset aNumnetguidsuna_0 ; DATA XREF: .rdata:000000014A8DB290↓o
.rdata:000000014A8DB058		off_14A8DB058   dq offset aNetguidoutrate_0 ; DATA XREF: .rdata:000000014A8DB2A0↓o
.rdata:000000014A8DB090		off_14A8DB090   dq offset aNetguidinrate_0 ; DATA XREF: .rdata:000000014A8DB2A8↓o
.rdata:000000014A8DB280		                dq offset off_14A8DAF50 ; "NumNetGUIDsAckd"
.rdata:000000014A8DB288		                dq offset off_14A8DAF98 ; "NumNetGUIDsPending"
.rdata:000000014A8DB290		                dq offset off_14A8DAFD0 ; "NumNetGUIDsUnAckd"
.rdata:000000014A8DB2A0		                dq offset off_14A8DB058 ; "NetGUIDOutRate"
.rdata:000000014A8DB2A8		                dq offset off_14A8DB090 ; "NetGUIDInRate"
.rdata:000000014A8DBD40		aNumnetguidsack_0 db 'NumNetGUIDsAckd',0 ; DATA XREF: sub_140F904E0+6↑o
.rdata:000000014A8DBD50		aNumnetguidspen_0 db 'NumNetGUIDsPending',0 ; DATA XREF: sub_140F90500+6↑o
.rdata:000000014A8DBD68		aNumnetguidsuna_0 db 'NumNetGUIDsUnAckd',0 ; DATA XREF: sub_140F90520+6↑o
.rdata:000000014A8DBD90		aNetguidoutrate_0 db 'NetGUIDOutRate',0 ; DATA XREF: sub_140F90320+6↑o
.rdata:000000014A8DBE88		aNetguidinrate_0 db 'NetGUIDInRate',0   ; DATA XREF: sub_140F90300+6↑o
.rdata:000000014A8E1770		aNumnetguidsack:                        ; DATA XREF: sub_143FD2C70+B82↑o
.rdata:000000014A8E1790		aNumnetguidspen:                        ; DATA XREF: sub_143FD2C70+BCA↑o
.rdata:000000014A8E17B8		aNumnetguidsuna:                        ; DATA XREF: sub_143FD2C70+C12↑o
.rdata:000000014A8E1800		aNetguidoutrate:                        ; DATA XREF: sub_143FD2C70+CA2↑o
.rdata:000000014A8E1820		aNetguidinrate:                         ; DATA XREF: sub_143FD2C70+CEA↑o
.rdata:000000014A9032C8		aNetguidmismatc:                        ; DATA XREF: sub_1440232C0:loc_1440233C1↑o
.rdata:000000014A9D1B10		                text "UTF-16LE", 'er ReceiveNetGUIDBunch. ChIndex: %i',0
.rdata:000000014A9D2100		                text "UTF-16LE", 'NetGUID %s)',0
.rdata:000000014A9D5FD0		                text "UTF-16LE", 'CreateDestructionInfo got an invalid NetGUID for %s'
.rdata:000000014A9D6620		                text "UTF-16LE", 'SendDestructionInfo: Channel %d. NetGUID <%s> Path:'
.rdata:000000014A9D6A78		                                        ; "Adding actor NetGUID <%s> to new connec"...
.rdata:000000014A9D6AA0		                text "UTF-16LE", 'Adding actor NetGUID <%s> to new connection',27h,'s'
.rdata:000000014A9D6B50		                text "UTF-16LE", 'nvalid NetGUID for %s',0
.rdata:000000014A9D75B0		                text "UTF-16LE", 't %s is not a NetGUID but NetDriver %s is using gen'
.rdata:000000014A9D7CF8		aOutnetguidkbyt db 'OutNetGUIDKBytesSec',0 ; DATA XREF: sub_140F90870+6↑o
.rdata:000000014A9D8580		                text "UTF-16LE", 'net.MaxSerializedNetGuids',0
.rdata:000000014A9D8670		                text "UTF-16LE", 'net.MaxSerializedReplayNetGuids',0
.rdata:000000014A9D8D50		                text "UTF-16LE", 'Reserved size in bytes for NetGUID serialization, u'
.rdata:000000014A9D8E10		                text "UTF-16LE", 'net.ReservedNetGuidSize',0
.rdata:000000014A9D8E40		                text "UTF-16LE", 'seconds, @see FNetGUIDCache::ConsumeDelinquencyAnal'
.rdata:000000014A9D9810		                text "UTF-16LE", 'nly cache objects and keep the same NetGUID.',0
.rdata:000000014A9D9DD0		                text "UTF-16LE", 'NetGUID before forcing a sync load on packages that'
.rdata:000000014A9DA158		aImportednetgui db 'ImportedNetGuids',0 ; DATA XREF: sub_140F8FCF0+6↑o
.rdata:000000014A9DA170		aPendingouterne db 'PendingOuterNetGuids',0 ; DATA XREF: sub_140F90A30+6↑o
.rdata:000000014A9DD8D8		off_14A9DD8D8   dq offset aNetguidSD    ; DATA XREF: sub_144275FD0+314↑o
.rdata:000000014A9DD8F8		aNetguidSD:                             ; DATA XREF: .rdata:off_14A9DD8D8↑o
.rdata:000000014A9DD940		aNetListnetguid_0:                      ; DATA XREF: sub_140F8FF20+A6↑o
.rdata:000000014A9E6800		                                        ; "WroteObject %s NetGUID <%s>"
.rdata:000000014A9E6820		                text "UTF-16LE", 'WroteObject %s NetGUID <%s>',0
.rdata:000000014A9E6C30		                text "UTF-16LE", 'chetype GUID. Path: %s, NetGUID: %s.',0
.rdata:000000014A9E6D00		                text "UTF-16LE", 'chetype GUID. Guid not registered! NetGUID: %s.',0
